age,female,foreign.born,LTHS,high.school,some.college,college,advanced.degree,ln.real.wage
41,1,1,0,0,0,0,1,3.68887949
32,1,1,1,0,0,0,0,2.169053793
31,0,1,1,0,0,0,0,2.44234705
43,1,1,0,1,0,0,0,2.77258873
48,0,1,0,0,0,1,0,2.995732307
69,0,1,0,0,0,1,0,2.251291752
61,0,1,0,0,0,1,0,2.11021328
61,0,1,0,1,0,0,0,2.197224617
53,0,1,0,0,1,0,0,2.773629904
53,1,0,0,0,1,0,0,3.872798681
38,1,1,1,0,0,0,0,2.472327948
57,0,1,1,0,0,0,0,2.681021452
39,0,1,1,0,0,0,0,2.656756878
54,0,1,1,0,0,0,0,2.140066147
27,0,1,1,0,0,0,0,2.67414856
21,1,1,1,0,0,0,0,2.014903069
43,0,1,0,1,0,0,0,2.484906673
50,0,1,0,0,1,0,0,3.135494232
45,1,1,0,0,1,0,0,2.944438934
19,0,0,0,0,1,0,0,2.140066147
17,1,0,1,0,0,0,0,2.140066147
35,0,1,1,0,0,0,0,2.140066147
37,0,0,0,0,1,0,0,2.694627285
47,1,1,1,0,0,0,0,2.297572613
60,0,1,1,0,0,0,0,2.302585125
60,1,0,1,0,0,0,0,2.459588766
27,1,0,1,0,0,0,0,2.484906673
48,0,1,1,0,0,0,0,2.859339714
30,0,1,1,0,0,0,0,2.379546165
30,0,1,1,0,0,0,0,2.140066147
29,0,1,1,0,0,0,0,2.224623442
53,0,1,1,0,0,0,0,2.11021328
49,0,1,0,0,1,0,0,2.525728703
61,1,1,1,0,0,0,0,NA
61,0,1,0,0,1,0,0,NA
25,0,0,0,0,1,0,0,2.930126429
46,0,1,0,1,0,0,0,2.778819323
37,0,1,0,0,0,1,0,2.833213329
37,0,1,1,0,0,0,0,2.302585125
51,0,0,0,1,0,0,0,2.995732307
44,1,1,0,1,0,0,0,2.714694738
23,0,0,0,0,1,0,0,2.351375341
39,1,0,0,0,1,0,0,2.11021328
28,1,1,1,0,0,0,0,2.11021328
31,0,1,1,0,0,0,0,2.545531273
28,1,1,1,0,0,0,0,2.11021328
53,1,1,0,1,0,0,0,2.995732307
57,0,1,1,0,0,0,0,2.708050251
38,0,0,0,1,0,0,0,3.649655104
31,0,0,1,0,0,0,0,2.890371799
22,1,0,0,0,0,0,1,3.363456964
53,0,1,1,0,0,0,0,3.178053856
31,0,0,0,1,0,0,0,3.68887949
42,0,1,0,0,0,0,1,3.912023067
27,1,0,0,0,1,0,0,NA
63,0,1,1,0,0,0,0,2.079441547
61,1,0,1,0,0,0,0,2.341805696
35,1,0,0,1,0,0,0,2.890371799
34,0,0,0,0,0,0,1,2.444518566
46,0,1,0,1,0,0,0,NA
40,0,1,1,0,0,0,0,3.496507645
41,0,1,1,0,0,0,0,3.496507645
49,1,0,0,0,0,0,1,3.2441926
53,0,1,0,0,1,0,0,3.406184912
19,1,0,0,0,1,0,0,2.302585125
54,0,1,1,0,0,0,0,3.091042519
30,1,0,0,0,1,0,0,2.351375341
22,1,0,0,0,1,0,0,2.302585125
30,0,1,0,1,0,0,0,3.135494232
77,1,1,0,1,0,0,0,2.484906673
70,0,1,0,1,0,0,0,2.995732307
55,1,1,0,0,1,0,0,2.708050251
43,0,1,0,1,0,0,0,2.708050251
39,1,1,1,0,0,0,0,2.265921116
